半金比率,ドーピング濃度,予測_抵抗減少量
97,2.200000000000001,0.07604933475
98,2.200000000000001,0.048327146599999996
99,2.200000000000001,0.048327146599999996
100,2.200000000000001,0.048327146599999996
80,2.300000000000001,0.17145861166666665
81,2.300000000000001,0.17145861166666665
82,2.300000000000001,0.17145861166666665
83,2.300000000000001,0.17145861166666665
84,2.300000000000001,0.17145861166666665
85,2.300000000000001,0.17145861166666665
86,2.300000000000001,0.17145861166666665
87,2.300000000000001,0.17145861166666665
88,2.300000000000001,0.17145861166666665
89,2.300000000000001,0.17145861166666665
90,2.300000000000001,0.17145861166666665
91,2.300000000000001,0.17145861166666665
92,2.300000000000001,0.17145861166666665
93,2.300000000000001,0.07604933475
94,2.300000000000001,0.07604933475
95,2.300000000000001,0.07604933475
96,2.300000000000001,0.07604933475
97,2.300000000000001,0.07604933475
98,2.300000000000001,0.048327146599999996
99,2.300000000000001,0.048327146599999996
100,2.300000000000001,0.048327146599999996
80,2.4000000000000012,0.17145861166666665
81,2.4000000000000012,0.17145861166666665
82,2.4000000000000012,0.17145861166666665
83,2.4000000000000012,0.17145861166666665
84,2.4000000000000012,0.17145861166666665
85,2.4000000000000012,0.17145861166666665
86,2.4000000000000012,0.17145861166666665
87,2.4000000000000012,0.17145861166666665
88,2.4000000000000012,0.17145861166666665
89,2.4000000000000012,0.17145861166666665
90,2.4000000000000012,0.17145861166666665
91,2.4000000000000012,0.17145861166666665
92,2.4000000000000012,0.17145861166666665
93,2.4000000000000012,0.07604933475
94,2.4000000000000012,0.07604933475
95,2.4000000000000012,0.07604933475
96,2.4000000000000012,0.07604933475
97,2.4000000000000012,0.07604933475
98,2.4000000000000012,0.048327146599999996
99,2.4000000000000012,0.048327146599999996
100,2.4000000000000012,0.048327146599999996
80,2.5000000000000013,0.17145861166666665
81,2.5000000000000013,0.17145861166666665
82,2.5000000000000013,0.17145861166666665
83,2.5000000000000013,0.17145861166666665
84,2.5000000000000013,0.17145861166666665
85,2.5000000000000013,0.17145861166666665
86,2.5000000000000013,0.17145861166666665
87,2.5000000000000013,0.17145861166666665
88,2.5000000000000013,0.17145861166666665
89,2.5000000000000013,0.17145861166666665
90,2.5000000000000013,0.17145861166666665
91,2.5000000000000013,0.17145861166666665
92,2.5000000000000013,0.17145861166666665
93,2.5000000000000013,0.07604933475
94,2.5000000000000013,0.07604933475
95,2.5000000000000013,0.07604933475
96,2.5000000000000013,0.07604933475
97,2.5000000000000013,0.07604933475
98,2.5000000000000013,0.048327146599999996
99,2.5000000000000013,0.048327146599999996
100,2.5000000000000013,0.048327146599999996
80,2.6000000000000014,0.17145861166666665
81,2.6000000000000014,0.17145861166666665
82,2.6000000000000014,0.17145861166666665
83,2.6000000000000014,0.17145861166666665
84,2.6000000000000014,0.17145861166666665
85,2.6000000000000014,0.17145861166666665
86,2.6000000000000014,0.17145861166666665
87,2.6000000000000014,0.17145861166666665
88,2.6000000000000014,0.17145861166666665
89,2.6000000000000014,0.17145861166666665
90,2.6000000000000014,0.17145861166666665
91,2.6000000000000014,0.17145861166666665
92,2.6000000000000014,0.17145861166666665
93,2.6000000000000014,0.07604933475
94,2.6000000000000014,0.07604933475
95,2.6000000000000014,0.07604933475
96,2.6000000000000014,0.07604933475
97,2.6000000000000014,0.07604933475
98,2.6000000000000014,0.048327146599999996
99,2.6000000000000014,0.048327146599999996
100,2.6000000000000014,0.048327146599999996
80,2.7000000000000015,0.17145861166666665
81,2.7000000000000015,0.17145861166666665
82,2.7000000000000015,0.17145861166666665
83,2.7000000000000015,0.17145861166666665
84,2.7000000000000015,0.17145861166666665
85,2.7000000000000015,0.17145861166666665
86,2.7000000000000015,0.17145861166666665
87,2.7000000000000015,0.17145861166666665
88,2.7000000000000015,0.17145861166666665
89,2.7000000000000015,0.17145861166666665
90,2.7000000000000015,0.17145861166666665
