半金比率,ドーピング濃度,予測_抵抗減少量
80,1.0,0.27884221949718785
81,1.0,0.27884221949718785
82,1.0,0.27884221949718785
83,1.0,0.27884221949718785
84,1.0,0.27884221949718785
85,1.0,0.27884221949718785
86,1.0,0.27884221949718785
87,1.0,0.27884221949718785
88,1.0,0.27884221949718785
89,1.0,0.27884221949718785
90,1.0,0.27884221949718785
91,1.0,0.27884221949718785
92,1.0,0.27884221949718785
93,1.0,0.1443579968737143
94,1.0,0.1443579968737143
95,1.0,0.1443579968737143
96,1.0,0.1443579968737143
97,1.0,0.1443579968737143
98,1.0,0.09636161310101984
99,1.0,0.09636161310101984
100,1.0,0.09636161310101984
80,1.1,0.27884221949718785
81,1.1,0.27884221949718785
82,1.1,0.27884221949718785
83,1.1,0.27884221949718785
84,1.1,0.27884221949718785
85,1.1,0.27884221949718785
86,1.1,0.27884221949718785
87,1.1,0.27884221949718785
88,1.1,0.27884221949718785
89,1.1,0.27884221949718785
90,1.1,0.27884221949718785
91,1.1,0.27884221949718785
92,1.1,0.27884221949718785
93,1.1,0.1443579968737143
94,1.1,0.1443579968737143
95,1.1,0.1443579968737143
96,1.1,0.1443579968737143
97,1.1,0.1443579968737143
98,1.1,0.09636161310101984
99,1.1,0.09636161310101984
100,1.1,0.09636161310101984
80,1.2000000000000002,0.27884221949718785
81,1.2000000000000002,0.27884221949718785
82,1.2000000000000002,0.27884221949718785
83,1.2000000000000002,0.27884221949718785
84,1.2000000000000002,0.27884221949718785
85,1.2000000000000002,0.27884221949718785
86,1.2000000000000002,0.27884221949718785
87,1.2000000000000002,0.27884221949718785
88,1.2000000000000002,0.27884221949718785
89,1.2000000000000002,0.27884221949718785
90,1.2000000000000002,0.27884221949718785
91,1.2000000000000002,0.27884221949718785
92,1.2000000000000002,0.27884221949718785
93,1.2000000000000002,0.1443579968737143
94,1.2000000000000002,0.1443579968737143
95,1.2000000000000002,0.1443579968737143
96,1.2000000000000002,0.1443579968737143
97,1.2000000000000002,0.1443579968737143
98,1.2000000000000002,0.09636161310101984
99,1.2000000000000002,0.09636161310101984
100,1.2000000000000002,0.09636161310101984
80,1.3000000000000003,0.27884221949718785
81,1.3000000000000003,0.27884221949718785
82,1.3000000000000003,0.27884221949718785
83,1.3000000000000003,0.27884221949718785
84,1.3000000000000003,0.27884221949718785
85,1.3000000000000003,0.27884221949718785
86,1.3000000000000003,0.27884221949718785
87,1.3000000000000003,0.27884221949718785
88,1.3000000000000003,0.27884221949718785
89,1.3000000000000003,0.27884221949718785
90,1.3000000000000003,0.27884221949718785
91,1.3000000000000003,0.27884221949718785
92,1.3000000000000003,0.27884221949718785
93,1.3000000000000003,0.1443579968737143
94,1.3000000000000003,0.1443579968737143
95,1.3000000000000003,0.1443579968737143
96,1.3000000000000003,0.1443579968737143
97,1.3000000000000003,0.1443579968737143
98,1.3000000000000003,0.09636161310101984
99,1.3000000000000003,0.09636161310101984
100,1.3000000000000003,0.09636161310101984
80,1.4000000000000004,0.27884221949718785
81,1.4000000000000004,0.27884221949718785
82,1.4000000000000004,0.27884221949718785
83,1.4000000000000004,0.27884221949718785
84,1.4000000000000004,0.27884221949718785
85,1.4000000000000004,0.27884221949718785
86,1.4000000000000004,0.27884221949718785
87,1.4000000000000004,0.27884221949718785
88,1.4000000000000004,0.27884221949718785
89,1.4000000000000004,0.27884221949718785
90,1.4000000000000004,0.27884221949718785
91,1.4000000000000004,0.27884221949718785
92,1.4000000000000004,0.27884221949718785
93,1.4000000000000004,0.1443579968737143
94,1.4000000000000004,0.1443579968737143
95,1.4000000000000004,0.1443579968737143
96,1.4000000000000004,0.1443579968737143
97,1.4000000000000004,0.1443579968737143
98,1.4000000000000004,0.09636161310101984
99,1.4000000000000004,0.09636161310101984
100,1.4000000000000004,0.09636161310101984
80,1.5000000000000004,0.27884221949718785
81,1.5000000000000004,0.27884221949718785
82,1.5000000000000004,0.27884221949718785
83,1.5000000000000004,0.27884221949718785
84,1.5000000000000004,0.27884221949718785
85,1.5000000000000004,0.27884221949718785
86,1.5000000000000004,0.27884221949718785
87,1.5000000000000004,0.27884221949718785
88,1.5000000000000004,0.27884221949718785
89,1.5000000000000004,0.27884221949718785
90,1.5000000000000004,0.27884221949718785
91,1.5000000000000004,0.27884221949718785
92,1.5000000000000004,0.27884221949718785
93,1.5000000000000004,0.1443579968737143
94,1.5000000000000004,0.1443579968737143
95,1.5000000000000004,0.1443579968737143
96,1.5000000000000004,0.1443579968737143
97,1.5000000000000004,0.1443579968737143
98,1.5000000000000004,0.09636161310101984
99,1.5000000000000004,0.09636161310101984
100,1.5000000000000004,0.09636161310101984
80,1.6000000000000005,0.1688469603671429
81,1.6000000000000005,0.1688469603671429
82,1.6000000000000005,0.1688469603671429
83,1.6000000000000005,0.1688469603671429
84,1.6000000000000005,0.1688469603671429
85,1.6000000000000005,0.1688469603671429
86,1.6000000000000005,0.1688469603671429
87,1.6000000000000005,0.1688469603671429
88,1.6000000000000005,0.1688469603671429
89,1.6000000000000005,0.1688469603671429
90,1.6000000000000005,0.1688469603671429
91,1.6000000000000005,0.1688469603671429
92,1.6000000000000005,0.1688469603671429
93,1.6000000000000005,0.07575942341203178
94,1.6000000000000005,0.07575942341203178
95,1.6000000000000005,0.07575942341203178
96,1.6000000000000005,0.07575942341203178
97,1.6000000000000005,0.07575942341203178
98,1.6000000000000005,0.04878028547786724
99,1.6000000000000005,0.04878028547786724
100,1.6000000000000005,0.04878028547786724
80,1.7000000000000006,0.1688469603671429
81,1.7000000000000006,0.1688469603671429
